
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2022-05-19_CRE_A-012-2022_Bolsa_no_onerosa_2019.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5652747&fecha=19/05/2022&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2021-03-09_Reforma_LIE.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5613245&fecha=09/03/2021&print=true
OK  | HTML | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\SIDOF_2020-10-12_CRE_A-012-2020_Bolsa_no_onerosa_2018.html | https://sidof.segob.gob.mx/notas/5602359
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2020-03-19_NOM-017-CRE-2019_A-028-2019.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5589820&fecha=19/03/2020&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2020-03-04_Mecanismo_de_Flexibilidad_CEL.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5588353&fecha=04/03/2020&print=true
OK  | HTML | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\SIDOF_2019-12-10_Lineamientos_CEL_Reforma_2do_Transitorio.html | https://sidof.segob.gob.mx/notas/imagenes/5581572
OK  | HTML | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\SIDOF_2019-10-28_Lineamientos_CEL_Modificacion.html | https://sidof.segob.gob.mx/notas/docFuente/5576691
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2019-03-29_Requisito_CEL_2022.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5555915&fecha=29/03/2019&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2017-03-07_CRE_RES-142-2017_GLD.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5474790&fecha=07/03/2017&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2016-07-25_CRE_RES-584-2016_CCE_ED.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5445640&fecha=25/07/2016&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2016-03-30_CRE_RES-174-2016_S-CEL.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5431464&fecha=30/03/2016&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2016-03-31_Requisito_CEL_2019.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5431515&fecha=31/03/2016&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2015-09-08_Bases_del_Mercado_Electrico.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5407715&fecha=08/09/2015&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2014-08-11_Ley_de_la_Industria_Electrica.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5355986&fecha=11/08/2014&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2013-12-20_Reforma_Constitucional_Energia.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5327463&fecha=20/12/2013&print=true
OK  | PDF | C:\Proyectos\48.-Analisis de CEL\scripts\CEL_LineaTiempo_PDF\DOF_2011-02-22_CRE_RES-003-2011_Cogeneracion_Eficiente.pdf | https://www.dof.gob.mx/nota_detalle.php?codigo=5178907&fecha=22/02/2011&print=true
